original_comment,clean_text,author,author_url,comment_id
Comments acting like the Bible is reliable and really is the word of God 🤦‍♂️,comments acting like the bible is reliable and really is the word of god,@Epic_Mythico,https://www.youtube.com/channel/UCpY9lo4k1udcgR8m2rF_Kmg,Ugyb1cE6nEvbUcBrsRF4AaABAg
I can debunk it in 10 seconds😂😂😂😂,i can debunk it in seconds,@sgrghyfrvhhh2844,https://www.youtube.com/channel/UC6r2-fkMgy8cAKGy1epa3Wg,Ugw10iUdH15ZQ0pI9rJ4AaABAg
"Your video debunked in one sentence.. 

""God sent Jesus to roam around in God's human form, to be sacrificed, therefore, God and Jesus are one. """,your video debunked in one sentence god sent jesus to roam around in gods human form to be sacrificed therefore god and jesus are one,@kaboom-86,https://www.youtube.com/channel/UCrIEshxel9_c4yKY01eEUgA,UgzlQaMqwpSeUaE9Mm94AaABAg
Oh yea and guess what John 10:30,oh yea and guess what john,@TreyFoe-s7i,https://www.youtube.com/channel/UCUwraOs4gCE6CiryjBmpXmg,UgzTVl8olm17dt_-zDF4AaABAg
He is not ready for the 7 trumpets,he is not ready for the trumpets,@TreyFoe-s7i,https://www.youtube.com/channel/UCUwraOs4gCE6CiryjBmpXmg,UgwgtDAVTCJNQKDi4Gd4AaABAg
"My translation says “the only true god and Jesus Christ”, which seeing as Jesus clearly says later that he is god, then it would be implied that he is also the only true god. They are one.",my translation says the only true god and jesus christ which seeing as jesus clearly says later that he is god then it would be implied that he is also the only true god they are one,@PianoMan-uc1wd,https://www.youtube.com/channel/UClvsl3ook_nNUVqtf6STOjQ,UgyK7MxYJ2RuqcBAON54AaABAg
"Nope... Jesus says he is one with the father, him and the father are one so he is God",nope jesus says he is one with the father him and the father are one so he is god,@GregAnderson-r3k,https://www.youtube.com/channel/UCwXfEv-fPSnmwlzu-kGq74w,UgwgnfB6nSt0HQFjLHp4AaABAg
He said “me and the father are one”,he said me and the father are one,@QuinRJA,https://www.youtube.com/channel/UC3qkr_ZpBKW3XWO386LI4zQ,UgxHMVrKXDTK62UDKxV4AaABAg
The comments give me hope,the comments give me hope,@MaximilianKane-f3c,https://www.youtube.com/channel/UCLTyxoe3BHhvR1Rg9JPwXug,Ugw1Ja931rSoQR0dUnh4AaABAg
"I believe the confusion comes from a misunderstanding of the trinity, the trinity is ONE person, but like 3 separate ‘beings’ so it is all 3 parts to a whole NOT separate gods",i believe the confusion comes from a misunderstanding of the trinity the trinity is one person but like separate beings so it is all parts to a whole not separate gods,@royalsandwicisom6636,https://www.youtube.com/channel/UCFhm-67ClI0kZxDBTM9h_wQ,UgzdgCzfZiISZBj5mvF4AaABAg
Imagine Jesus a Jewish rabbi having 30% of the population (Christianity) practice a completely different religion to what he was preaching in his name and having no say in it. 😂,imagine jesus a jewish rabbi having of the population christianity practice a completely different religion to what he was preaching in his name and having no say in it,@keto-adhd,https://www.youtube.com/channel/UCpnTFGDZNvIl639Dw9wBuOw,UgzsLBTU2sOwy5UKPwR4AaABAg
"In this video, This man has a misunderstanding of the Trinity and it is so idiosyncratic to the Christian faith.",in this video this man has a misunderstanding of the trinity and it is so idiosyncratic to the christian faith,@Neo1art,https://www.youtube.com/channel/UC0Ro7iMPY5ybIU3itlhdkAw,Ugy9BxsFcZjETldxhoF4AaABAg
Love your videos!❤,love your videos,@biancapescar8827,https://www.youtube.com/channel/UC5BNPgcndr4b8WuUymApSGg,UgyeFHV04DKmfoHPyIF4AaABAg
People in the comments are really stupid . If thry knew math they would know that 1 does not equal 3 its illogical and it does not make any sense. God said he is 1 not 2 not 3  one with no sugar coating . Before  Jesus  there is no mention of the trinity. The trinity was added only in the new testament . Just because a random guru dude said he is God in flesh that does not mean its true .,people in the comments are really stupid if thry knew math they would know that does not equal its illogical and it does not make any sense god said he is not not one with no sugar coating before jesus there is no mention of the trinity the trinity was added only in the new testament just because a random guru dude said he is god in flesh that does not mean its true,@biancapescar8827,https://www.youtube.com/channel/UC5BNPgcndr4b8WuUymApSGg,UgxsnahJvmA5Udx9C7V4AaABAg
Oh no!!! 2000 years of theology refuted in a youtube short! The Church Fathers who studied the Bible should've had YouTube to know the truth...,oh no years of theology refuted in a youtube short the church fathers who studied the bible shouldve had youtube to know the truth,@Jorge-ep7hq,https://www.youtube.com/channel/UC8gfHN5HPm6yArd0aIuboNw,Ugx-05NoJt7h_sP9T2R4AaABAg
what an idiot. hell is waiting for you. your point doesnt prove anything,what an idiot hell is waiting for you your point doesnt prove anything,@captainhorny1821,https://www.youtube.com/channel/UCZqpPO04eHjIH8Sjm_0po6g,UgyQGzjTd3gcEM9qGqJ4AaABAg
GodLogic cooked this guy so bad😂😂😂,godlogic cooked this guy so bad,@Julie_jykz,https://www.youtube.com/channel/UCocDB_JIjXdZY6M1RRBAbmg,Ugzv1l1PqXe98h5H-0B4AaABAg
